; alternate spellings for mw headwords
; Part 1:  based on pw prefixed verbs, which also occur in mw
;  but with different spelling.
; The prefixed verb records are sub-headwords of pw verb records,
; but in mw, they are separate headwords.
; format:  mw spelling <tab> alternate pw spelling
; ---------------------------------------------------
; ---------------------------------------------------
pratyAdf	pratyAdar
samAdf	samAdar
atidfp	atidarp
samuddfp	samuddarp
pradfp	pradarp
anudfB	anudarB
pidfB	pidarB
samdfB	samdarB
atidfS	atidarS
aDidfS	aDidarS
anudfS	anudarS
vyapadfS	vyapadarS
aBidfS	aBidarS
avadfS	avadarS
AdfS	AdarS
pratyAdfS	pratyAdarS
vyAdfS	vyAdarS
uddfS	uddarS
aByuddfS	aByuddarS
upadfS	upadarS
samupadfS	samupadarS
nidfS	nidarS
saMnidfS	saMnidarS
parAdfS	parAdarS
paridfS	paridarS
pradfS	pradarS
upapradfS	upapradarS
sampradfS	sampradarS
pratidfS	pratidarS
vidfS	vidarS
aBividfS	aBividarS
samdfS	samdarS
anusamdfS	anusamdarS
uddfh	uddarh
anUddfh	anUddarh
AdaSasya	AdaSasy
samdaSasya	samdaSasy
anudIDI	anudIDi
aBidIDI	aBidIDi
avadIDI	avadIDi
AdIDI	AdIDi
anvAdIDI	anvAdIDi
uddIDI	uddIDi
nidIDI	nidIDi
pradIDI	pradIDi
pratidIDI	pratidIDi
vidIDI	vidIDi
paridurmanAya	paridurmanAy
aBidUzaya	aBidUzay
upadUzaya	upadUzay
pradUzaya	pradUzay
aBipradUzaya	aBipradUzay
pratipradUzaya	pratipradUzay
vidUzaya	vidUzay
samdUzaya	samdUzay
aDiDf	aDiDar
aBiDf	aBiDar
avaDf	avaDar
paryavaDf	paryavaDar
vyavaDf	vyavaDar
ADf	ADar
nyADf	nyADar
udDf	udDar
upaDf	upaDar
anUpaDf	anUpaDar
niDf	niDar
viniDf	viniDar
nirDf	nirDar
pariDf	pariDar
praDf	praDar
sampraDf	sampraDar
pratiDf	pratiDar
viDf	viDar
samDf	samDar
apaDfz	apaDarz
aBiDfz	aBiDarz
avaDfz	avaDarz
ADfz	ADarz
upaDfz	upaDarz
pariDfz	pariDarz
praDfz	praDarz
aBipraDfz	aBipraDarz
sampraDfz	sampraDarz
pratiDfz	pratiDarz
viDfz	viDarz
samDfz	samDarz
ADunaya	ADunay
avaDUnaya	avaDUnay
viDUnaya	viDUnay
