pratApamArtaRqa,prOQapratApamArtaRqa
pratyaktattvadIpikA,tattvapradIpikA
pratyaktattvadIpikA,citsuKI
prapannAmfta,rAmAnujacarita
pramARaratnamAlA,pramARamAlA
prayogaratna,smArtAnuzWAnapadDati
prayogasAra,kftyatattva
praSnavEzRava,praSnArRava
praSnavEzRava,vEzRavaSAstra
praSnopanizad,zawpraSnopanizad
prahlAdastuti,dvArakAmAhAtmya
prAkftaprakriyAvftti,vyutpattidIpikA
prAkftarahasya,zaqBAzAvArttika
prAtiSAKya,pArzada
prAyaScittaSatadvayI,SatadvayIprAyaScitta
bApuBawwa,anantaBawwa
bAlacikitsA,SiSurakzAratna
bilvamaNgala,lIlASuka
bfhatISastra,mahadukTa
boDasuDAkara,tAjikAlaMkAra
boDAnandaGana,ahobalaSAstrin
brahmapurARa,AdipurARa
brahmasUtra,uttaramImAMsA
brahmasUtra,brahmamImAMsA
brahmasUtra,vedAntasUtra
brahmasUtra,vyAsasUtra
brahmAditya,brahmArka
brahmAvAsa,avimuktanirukti
BaktimImAMsA,BaktimImAMsAsUtra
BagavadgItA,gItA
BagavadBaktinirRaya,BagavadBaktiviveka
BagavantaBAskara,smftiBAskara
BagavantaBAskara,BAskara
BajanAnanda,BujarAma
Bawwa,BawwAcArya
BawwAcAryaSiromaRi,SiromaRi
Bawwi,BartfsvAmin
BawwikAvya,rAvaRavaDa
BaratamallIka,Baratasena
BartfmeRWa,meRWa
Bartfhari,hari
BAgavatatattvadIpa,nibanDa
BAgaviveka,DanaviBAgaviveka
BAmatI,SArIrakaBAzyaviBAga
BAmatI,viBAga
BAvacintAmaRi,saMtAnadIpikA
BAvadIpa,BAzyawIkA
BAvaprakASa,BAvaprakASikA
BAzApariCeda,kArikAvali
BAsvatIkaraRa,BAsvatI
BujarAma,BajanAnanda
BuvanadIpa,BuvanadIpaka
BuvanadIpa,BuvanadIpaka
BuvaneSvarIstotra,sidDasArasvatastotra
BfgusaMhitA,yogasAgara
BErava,BEravendra
BEravadIkzitatilaka,tilakaBErava
Bojadeva,BojarAja
Bojadeva,Boja
maRiratnAkara,nAmaratnAkara
madana,bAlasarasvatI
madanagopAla,gopAlapurI
madanapArijAta,pArijAta
madanapAlavinodaniGaRwu,madanavinoda
maDyasidDAntakOmudI,maDyakOmudI
maDvamuKamardana,maDvamataKaRqana
mantradevaprakASikA,mantradevatAprakASikA
mantrabrAhmaRa,upanizadbrAhmaRa
mantrikopanizad,mantropanizad
mantrodDArakoSa,udDArakoSa
mayamata,pratizWAtantra
mayUracitraka,meGamAlA
mayUracitraka,ratnamAlA
malamAsatattva,malimlucatattva
mahAdeva,maheSa
mahAnayaprakASa,mahArTaprakASa
mahAnAwaka,hanumannAwaka
mahAnArAyaRopanizad,bfhannArAyaRopanizad
mahABArata,BArata
mahAvAkyavicAra,samADiviDi
maheSa,mahAdeva
maheSvaratIrTa,maheSa
mAtfkAkzaraniGaRwu,mAtfkAniGaRwu
mATurI,mATurAnATI
mitAkzarA,fjumitAkzarA
mImAMsAbAlaprakASa,mImAMsAsArasaMgraha
mImAMsABAzya,SabaraBAzya
mImAMsABAzya,SAbaraBAzya
mImAMsAsUtra,jEminisUtra
mukundarAja,mukundamuni
muktikzetramAhAtmya,bakulAraRyamAhAtmya
muRqakopanizad,ATarvaRopanizad
muni,munIndra
medinIkoSa,nAnArTakoSa
mEtreyarakzita,rakzita
yajurvedakriyAsvaralakzaRa,yohiBAzya
yatirAjavijaya,vedAntavilAsa
yavanAcArya,yavaneSvara
yAjYikadeva,SrIdeva
yAjYikadeva,deva
yAdavapaRqita,yAdavavyAsa
yAdavAcArya,yAdavaprakASa
yAdavendraBawwa,yAdavavidyABUzaRa
yogayAjYavalkya,yogiyAjYavalkya
yogavAsizWa,ArzarAmAyaRa
yogavAsizWa,jYAnavAsizWa
yogavAsizWasAra,jYAnasAra
yogaSataka,yogaSata
yogaSiKopanizad,dIpaSiKopanizad
yogasArasamuccaya,yogasArasaMgraha
yogasUtra,sAMKyapravacana
yogasUtra,pAtaYjala
raGunATaupADyAya,raGunATaBawwa
raGUttamayati,raGUttamatIrTa
raNganATa,raNgarAja
ratnakoSavAda,ratnakoSavicAra
ratnadIpaka,ratnapradIpa
ratneSvara,rAmasiMhadeva
rAkzasakAvya,kAvyarAkzasa
rAGavendra,SatAvaDAna
rAjaniGaRwu,niGaRwurAja
rAjaniGaRwu,aBiDAnacUqAmaRi
rAjavallaBa,paryAyaratnamAlA
rAjYIdevIpaYcANga,rAjYIpaYcANga
rARaka,nyAyasuDA
rARaka,vArttikayojanA
rARaka,sarvAnavadyakAriRI
rADAmADavarUpacintAmaRi,rADAkfzRarUpacintAmaRi
rAmakfzRa,kAkArAma
rAmakfzRavilomakAvya,rAmakfzRakAvya
rAmacandratIrTa,mADavaSAstrin
rAmadAsa,rAmaBakta
rAmanATa,rAmacandra
rAmapUjAsaraRi,rAmapadDati
rAmaBadradIkzita,cokkanATa
rAmarakzA,vajrapaYjara
rAmARqAra,rAmAgnicit
rAmAnandasarasvatI,rAmakiMkara
rAmAnandatIrTa,rAmAnandayati
rAmAnandatIrTa,tIrTasvAmin
rAmAnuja,yatirAja
rAmAyaRasaMgraha,saMgraharAmAyaRa
rAmAryASataka,rAmAryA
rAmAryASataka,AryASataka
rAmendravana,devendra
rAyamukuwa,bfhaspati
rAyasiMhotsava,vEdyakasArasaMgraha
