; Case 001  akz  2 (0/2)
09     pratyA        brU            pratyAbrU            pratyAbrU yes
10         ud        brU                udbrU                udbrU yes
11        upa        brU               upabrU               upabrU yes
12        nis        brU               nirdrU               nirdrU no
13       pari        brU              paribrU              paribrU yes
14        pra        brU               prabrU               prabrU yes
15      prati        brU             pratibrU             pratibrU yes
16         vi        brU                vibrU                vibrU yes
17        sam        brU               sambrU               sambrU yes
; Case 410  Bakz  5 (5/0)
01      vyava       Bakz            vyavaBakz            vyavaBakz yes
02        upa       Bakz              upaBakz              upaBakz yes
03       pari       Bakz             pariBakz             pariBakz yes
04      prati       Bakz            pratiBakz            pratiBakz yes
05        sam       Bakz              samBakz              samBakz yes
; Case 411  Baj  17 (15/2)
01        anu        Baj               anuBaj               anuBaj yes
02        apa        Baj               apaBaj               apaBaj yes
03        aBi        Baj               aBiBaj               aBiBaj yes
04          A        Baj                 ABaj                 ABaj yes
05       anvA        Baj              anvABaj              anvABaj yes
06        upa        Baj               upaBaj               upaBaj yes
07        nis        Baj               nirDaj               nirDaj no
08       pari        Baj              pariBaj              pariBaj yes
09        pra        Baj               praBaj               praBaj yes
10      prati        Baj             pratiBaj             pratiBaj yes
11         vi        Baj                viBaj                viBaj yes
12      anuvi        Baj             anuviBaj             anuviBaj no
13      aBivi        Baj             aBiviBaj             aBiviBaj yes
14      pravi        Baj             praviBaj             praviBaj yes
15    prativi        Baj           prativiBaj           prativiBaj yes
16      saMvi        Baj             saMviBaj             saMviBaj yes
17        sam        Baj               samBaj               samBaj yes
; Case 412  BaYj  17 (8/9)
01        apa       BaYj              apaBaYj              apaBaYj no
02        aBi       BaYj              aBiBaYj              aBiBaYj yes
03        ava       BaYj              avaBaYj              avaBaYj yes
04          A       BaYj                ABaYj                ABaYj no
05        vyA       BaYj              vyABaYj              vyABaYj no
06         ud       BaYj               udBaYj               udBaYj yes
07        upa       BaYj              upaBaYj              upaBaYj no
08         ni       BaYj               niBaYj               niBaYj yes
09        nis       BaYj              nirDaYj              nirDaYj no
10       pari       BaYj             pariBaYj             pariBaYj no
11        pra       BaYj              praBaYj              praBaYj yes
12     aBipra       BaYj           aBipraBaYj           aBipraBaYj no
13     saMpra       BaYj           sampraBaYj           sampraBaYj no
14      prati       BaYj            pratiBaYj            pratiBaYj yes
15         vi       BaYj               viBaYj               viBaYj yes
16        sam       BaYj              samBaYj              samBaYj yes
17     aBisam       BaYj           aBisamBaYj           aBisamBaYj no
; Case 413  BaR  1 (1/0)
01      prati        BaR             pratiBaR             pratiBaR yes
; Case 414  BaRq  1 (0/1)
01      prati       BaRq            pratiBaRq            pratiBaRq no
; Case 415  Ban  1 (0/1)
01          A        Ban                 ABan                 ABan no
; Case 416  Bar  24 (15/9)
01        anu        Bar               anuBar                anuBf yes
02        apa        Bar               apaBar                apaBf no
03        aBi        Bar               aBiBar                aBiBf yes
04        ava        Bar               avaBar                avaBf yes
05          A        Bar                 ABar                  ABf yes
06       aDyA        Bar              aDyABar               aDyABf yes
07        upA        Bar               upABar                upABf no
08      paryA        Bar             paryABar              paryABf yes
09       samA        Bar              samABar               samABf yes
10         ud        Bar                udBar                 udBf yes
11      aDyud        Bar             aDyudBar              aDyudBf yes
12     paryud        Bar            paryudBar             paryudBf no
13         ni        Bar                niBar                 niBf no
14      saMni        Bar             saMniBar              saMniBf no
15        nis        Bar               nirDar                nirDf yes
16       parA        Bar              parABar               parABf no
17        pra        Bar               praBar                praBf yes
18     aBipra        Bar            aBipraBar             aBipraBf yes
19      prati        Bar             pratiBar              pratiBf yes
20         vi        Bar                viBar                 viBf yes
21        sam        Bar               samBar                samBf yes
22     anusam        Bar            anusamBar             anusamBf no
23     aBisam        Bar            aBisamBar             aBisamBf no
24     upasam        Bar            upasamBar             upasamBf no
; Case 417  Barts  8 (4/4)
01        aBi      Barts             aBiBarts             aBiBarts yes
02        ava      Barts             avaBarts             avaBarts yes
03         ni      Barts              niBarts              niBarts no
04         ud      Barts              udBarts              udBarts yes
05        nis      Barts             nirDarts             nirDarts no
06     aBinis      Barts          aBinirDarts          aBinirDarts no
07       pari      Barts            pariBarts            pariBarts yes
08        sam      Barts             samBarts             samBarts no
; Case 418  Bal  4 (2/2)
01         ni        Bal                niBal                niBal yes
02       vini        Bal              viniBal              viniBal no
03        nis        Bal               nirDal               nirDal no
04        sam        Bal               samBal               samBal yes
; Case 419  Bas  2 (0/2)
01        nis        Bas               nirDas               nirDas no
02        pra        Bas               praBas               praBas no
; Case 420  BA  21 (17/4)
01        ati         BA                atiBA                atiBA yes
02         na         BA                 naBA                 naBA no
03      vyAti         BA              vyAtiBA              vyAtiBA no
04        anu         BA                anuBA                anuBA yes
05        aBi         BA                aBiBA                aBiBA yes
06        ava         BA                avaBA                avaBA yes
07          A         BA                  ABA                  ABA yes
08       samA         BA               samABA               samABA yes
09         ud         BA                 udBA                 udBA yes
10         ni         BA                 niBA                 niBA no
11        nis         BA                nirDA                nirDA yes
12      vinis         BA              vinirDA              vinirDA no
13        pra         BA                praBA                praBA yes
14     anupra         BA             anupraBA             anupraBA yes
15      prati         BA              pratiBA              pratiBA yes
16    viprati         BA            vipratiBA            vipratiBA yes
17   saMprati         BA           sampratiBA           sampratiBA yes
18         vi         BA                 viBA                 viBA yes
19      aBivi         BA              aBiviBA              aBiviBA yes
20      saMvi         BA              saMviBA              saMviBA yes
21        sam         BA                samBA                samBA yes
; Case 421  BAz  19 (14/5)
01        aDi        BAz               aDiBAz               aDiBAz no
02        anu        BAz               anuBAz               anuBAz yes
03        apa        BAz               apaBAz               apaBAz yes
04        aBi        BAz               aBiBAz               aBiBAz yes
05   pratyaBi        BAz          pratyaBiBAz          pratyaBiBAz no
06     samaBi        BAz            samaBiBAz            samaBiBAz yes
07        ava        BAz               avaBAz               avaBAz no
08          A        BAz                 ABAz                 ABAz yes
09        vyA        BAz               vyABAz               vyABAz yes
10       samA        BAz              samABAz              samABAz yes
11         ud        BAz                udBAz                udBAz no
12       pari        BAz              pariBAz              pariBAz yes
13        pra        BAz               praBAz               praBAz yes
14     saMpra        BAz            sampraBAz            sampraBAz yes
15      prati        BAz             pratiBAz             pratiBAz yes
16   saMprati        BAz          sampratiBAz          sampratiBAz yes
17         vi        BAz                viBAz                viBAz yes
18        sam        BAz               samBAz               samBAz yes
19     upasam        BAz            upasamBAz            upasamBAz no
; Case 422  BAs  11 (8/3)
01        ava        BAs               avaBAs               avaBAs yes
02   pratyava        BAs          pratyavaBAs          pratyavaBAs no
03      vyava        BAs             vyavaBAs             vyavaBAs yes
04          A        BAs                 ABAs                 ABAs yes
05         ud        BAs                udBAs                udBAs yes
06      samud        BAs             samudBAs             samudBAs no
07        nis        BAs               nirDAs               nirDAs no
08       pari        BAs              pariBAs              pariBAs yes
09        pra        BAs               praBAs               praBAs yes
10      prati        BAs             pratiBAs             pratiBAs yes
11         vi        BAs                viBAs                viBAs yes
; Case 423  Bid  22 (13/9)
01      vyati        Bid             vyatiBid             vyatiBid no
02        anu        Bid               anuBid               anuBid yes
03      antar        Bid             antarBid             antarBid no
04        apa        Bid               apaBid               apaBid yes
05        aBi        Bid               aBiBid               aBiBid no
06        ava        Bid               avaBid               avaBid yes
07          A        Bid                 ABid                 ABid yes
08         ud        Bid                udBid                udBid yes
09       prod        Bid              prodBid              prodBid no
10         ni        Bid                niBid                niBid yes
11        nis        Bid               nirDid               nirDid no
12      vinis        Bid             vinirDid             vinirDid no
13       parA        Bid              parABid              parABid no
14       pari        Bid              pariBid              pariBid yes
15        pra        Bid               praBid               praBid yes
16     upapra        Bid            upapraBid            upapraBid yes
17      prati        Bid             pratiBid             pratiBid yes
18         vi        Bid                viBid                viBid yes
19      pravi        Bid             praviBid             praviBid no
20        sam        Bid               samBid               samBid yes
21     anusam        Bid            anusamBid            anusamBid yes
22     upasam        Bid            upasamBid            upasamBid no
; Case 424  BI  7 (2/5)
01        ati         BI                atiBI                atiBI no
02          A         BI                  ABI                  ABI no
03         ni         BI                 niBI                 niBI no
04       pari         BI               pariBI               pariBI no
05        pra         BI                praBI                praBI yes
06         vi         BI                 viBI                 viBI yes
07        sam         BI                samBI                samBI no
; Case 425  Buj  19 (15/4)
01        ava        Buj               avaBuj               avaBuj yes
02   pratyava        Buj          pratyavaBuj          pratyavaBuj yes
03          A        Buj                 ABuj                 ABuj yes
04        vyA        Buj               vyABuj               vyABuj no
05         ni        Buj                niBuj                niBuj yes
06        nis        Buj               nirDuj               nirDuj no
07      vinis        Buj             vinirDuj             vinirDuj no
08       pari        Buj              pariBuj              pariBuj yes
09        pra        Buj               praBuj               praBuj yes
10         vi        Buj                viBuj                viBuj no
11      pravi        Buj             praviBuj             praviBuj yes
12        sam        Buj               samBuj               samBuj yes
13        aDi        Buj               aDiBuj               aDiBuj yes
14        aBi        Buj               aBiBuj               aBiBuj yes
15       samA        Buj              samABuj              samABuj yes
16        upa        Buj               upaBuj               upaBuj yes
17   pratyupa        Buj          pratyupaBuj          pratyupaBuj yes
18     samupa        Buj            samupaBuj            samupaBuj yes
19      prati        Buj             pratiBuj             pratiBuj yes
; Case 426  Bur  2 (0/2)
01       pari        Bur              pariBur              pariBur no
02        sam        Bur               samBur               samBur no
; Case 427  BU  48 (31/17)
01         na         BU                 naBU                 naBU no
02        kva         BU                kvaBU                kvaBU no
03        ati         BU                atiBU                atiBU yes
04        pra         BU                praBU                praBU yes
05      vyati         BU              vyatiBU              vyatiBU yes
06        aDi         BU                aDiBU                aDiBU no
07        anu         BU                anuBU                anuBU yes
08   pratyanu         BU           pratyanuBU           pratyanuBU yes
09     samanu         BU             samanuBU             samanuBU yes
10      antar         BU              antarBU              antarBU yes
11        apa         BU                apaBU                apaBU yes
12        api         BU                apiBU                apiBU yes
13        aBi         BU                aBiBU                aBiBU yes
14     atyaBi         BU             atyaBiBU             atyaBiBU no
15   pratyaBi         BU           pratyaBiBU           pratyaBiBU no
16          A         BU                  ABU                  ABU yes
17       anvA         BU               anvABU               anvABU yes
18       aByA         BU               aByABU               aByABU yes
19      paryA         BU              paryABU              paryABU yes
20     pratyA         BU             pratyABU             pratyABU yes
21       Avis         BU               AvirDU               AvirDU no
22     prAvis         BU             prAvirDU             prAvirDU no
23         ud         BU                 udBU                 udBU yes
24       prod         BU               prodBU               prodBU no
25    pratyud         BU            pratyudBU            pratyudBU no
26      samud         BU              samudBU              samudBU yes
27        upa         BU                upaBU                upaBU yes
28      tiras         BU              tirarDU              tirarDU no
29         ni         BU                 niBU                 niBU no
30      praRi         BU              praRiBU              praRiBU no
31        nis         BU                nirDU                nirDU yes
32       parA         BU               parABU               parABU yes
33    anuparA         BU            anuparABU            anuparABU yes
34       pari         BU               pariBU               pariBU yes
35    saMpari         BU            saMpariBU            saMpariBU no
36      punar         BU              punarBU              punarBU no
37     anupra         BU             anupraBU             anupraBU no
38     aBipra         BU             aBipraBU             aBipraBU yes
39     upapra         BU             upapraBU             upapraBU yes
40      prati         BU              pratiBU              pratiBU yes
41         vi         BU                 viBU                 viBU yes
42      anuvi         BU              anuviBU              anuviBU yes
43      pravi         BU              praviBU              praviBU no
44      saMvi         BU              saMviBU              saMviBU no
45     anusam         BU             anusamBU             anusamBU yes
46     aBisam         BU             aBisamBU             aBisamBU yes
47    parisam         BU            parisamBU            parisamBU yes
48   pratisam         BU           pratisamBU           pratisamBU yes
; Case 428  BUz  10 (9/1)
01        upA        BUz               upABUz               upABUz yes
02        upa        BUz               upaBUz               upaBUz yes
03       pari        BUz              pariBUz              pariBUz yes
04         vi        BUz                viBUz                viBUz yes
05        ati        BUz               atiBUz               atiBUz yes
06        aBi        BUz               aBiBUz               aBiBUz no
07          A        BUz                 ABUz                 ABUz yes
08        pra        BUz               praBUz               praBUz yes
09     anupra        BUz            anupraBUz            anupraBUz yes
10      prati        BUz             pratiBUz             pratiBUz yes
; Case 429  Byas  1 (0/1)
01         ud       Byas               udByas               udByas no
; Case 430  BraMS  9 (5/4)
01        anu      BraMS             anuBraMS             anuBraMS no
02        apa      BraMS             apaBraMS             apaBraMS no
03          A      BraMS               ABraMS               ABraMS no
04         ni      BraMS              niBraMS              niBraMS yes
05       pari      BraMS            pariBraMS            pariBraMS yes
06    saMpari      BraMS         saMpariBraMS         saMpariBraMS no
07        pra      BraMS             praBraMS             praBraMS yes
08         vi      BraMS              viBraMS              viBraMS yes
09        sam      BraMS             samBraMS             samBraMS yes
; Case 431  Brajj  3 (1/2)
01        ava      Brajj             avaBrajj             avaBrajj no
02       pari      Brajj            pariBrajj            pariBrajj yes
03        sam      Brajj             samBrajj             samBrajj no
; Case 432  Bram  8 (6/2)
01         ud       Bram               udBram               udBram yes
02      samud       Bram            samudBram            samudBram no
03        upa       Bram              upaBram              upaBram yes
04       pari       Bram             pariBram             pariBram yes
05        pra       Bram              praBram              praBram yes
06         vi       Bram               viBram               viBram yes
07        sam       Bram              samBram              samBram yes
08     upasam       Bram           upasamBram           upasamBram no
; Case 433  BrAj  4 (3/1)
01        pra       BrAj              praBrAj              praBrAj yes
02         vi       BrAj               viBrAj               viBrAj yes
03      aDivi       BrAj            aDiviBrAj            aDiviBrAj no
04        sam       BrAj              samBrAj              samBrAj yes
; Case 434  maMh  1 (1/0)
01         vi       maMh               vimaMh               vimaMh yes
; Case 435  maNk  1 (0/1)
01        pra       maNk              pramaNk              pramaNk no
; Case 436  maNg  1 (0/1)
01        pra       maNg              pramaNg              pramaNg no
; Case 437  majj  12 (7/5)
01        ava       majj              avamajj              avamajj yes
02          A       majj                Amajj                Amajj no
03         ud       majj               udmajj               udmajj no
04      samud       majj            samudmajj            samudmajj no
05        upa       majj              upamajj              upamajj yes
06         ni       majj               nimajj               nimajj yes
07      upani       majj            upanimajj            upanimajj yes
08       vini       majj             vinimajj             vinimajj no
09        nis       majj              nirmajj              nirmajj yes
10        pra       majj              pramajj              pramajj yes
11         vi       majj               vimajj               vimajj yes
12        sam       majj              sammajj              sammajj no
; Case 438  maYc  1 (1/0)
01        nis       maYc              nirmaYc              nirmaYc yes
; Case 439  maRq  2 (0/2)
01       pari       maRq             parimaRq             parimaRq no
02      prati       maRq            pratimaRq            pratimaRq no
; Case 440  maT  17 (11/6)
01        aDi        maT               aDimaT               aDimaT no
02        aBi        maT               aBimaT               aBimaT no
03        ava        maT               avamaT               avamaT yes
04          A        maT                 AmaT                 AmaT yes
05         ud        maT                udmaT                udmaT no
06       prod        maT              prodmaT              prodmaT no
07      samud        maT             samudmaT             samudmaT no
08        upa        maT               upamaT               upamaT yes
09         ni        maT                nimaT                nimaT yes
10        nis        maT               nirmaT               nirmaT yes
11      vinis        maT             vinirmaT             vinirmaT yes
12     saMnis        maT            saMnirmaT            saMnirmaT yes
13       pari        maT              parimaT              parimaT yes
14        pra        maT               pramaT               pramaT yes
15         vi        maT                vimaT                vimaT yes
16      aBivi        maT             aBivimaT             aBivimaT no
17        sam        maT               sammaT               sammaT yes
; Case 441  maTAy  2 (0/2)
01         ud      maTAy              udmaTAy             udmaTAya no
02       pari      maTAy            parimaTAy           parimaTAya no
; Case 442  mad  15 (7/8)
01        anu        mad               anumad               anumad yes
02        aBi        mad               aBimad               aBimad yes
03        ava        mad               avamad               avamad no
04         ud        mad                udmad                udmad no
05       prod        mad              prodmad              prodmad no
06        upa        mad               upamad               upamad yes
07       pari        mad              parimad              parimad no
08        pra        mad               pramad               pramad yes
09     aBipra        mad            aBipramad            aBipramad no
10      vipra        mad             vipramad             vipramad no
11     saMpra        mad            sampramad            sampramad no
12         vi        mad                vimad                vimad yes
13        sam        mad               sammad               sammad yes
14         ni        mad                nimad                nimad yes
15      upani        mad             upanimad             upanimad no
; Case 443  man  21 (16/5)
01        ati        man               atiman               atiman yes
02        aDi        man               aDiman               aDiman yes
03        anu        man               anuman               anuman yes
04     samanu        man            samanuman            samanuman yes
05        apa        man               apaman               apaman no
06        aBi        man               aBiman               aBiman yes
07        ava        man               avaman               avaman yes
08     aByava        man            aByavaman            aByavaman yes
09          A        man                 Aman                 Aman yes
10     pratyA        man            pratyAman            pratyAman no
11       samA        man              samAman              samAman no
12        upa        man               upaman               upaman no
13         ni        man                niman                niman yes
14       pari        man              pariman              pariman yes
15        pra        man               praman               praman yes
16     aBipra        man            aBipraman            aBipraman yes
17      prati        man             pratiman             pratiman yes
18         vi        man                viman                viman yes
19        sam        man               samman               samman yes
20     anusam        man            anusamman            anusamman yes
21     aBisam        man            aBisamman            aBisamman no
; Case 444  manasy  1 (0/1)
01        aBi     manasy            aBimanasy           aBimanasya no
; Case 445  mantray  16 (13/3)
01        anu    mantray           anumantray             anumantr yes
02        aBi    mantray           aBimantray             aBimantr yes
03     samaBi    mantray        samaBimantray          samaBimantr no
04          A    mantray             Amantray               Amantr yes
05        udA    mantray           udAmantray             udAmantr no
06        upA    mantray           upAmantray             upAmantr yes
07       samA    mantray          samAmantray            samAmantr yes
08        upa    mantray           upamantray             upamantr yes
09     aByupa    mantray        aByupamantray          aByupamantr yes
10         ni    mantray            nimantray              nimantr yes
11      aBini    mantray         aBinimantray           aBinimantr yes
12      upani    mantray         upanimantray           upanimantr yes
13      saMni    mantray         saMnimantray           saMnimantr yes
14       pari    mantray          parimantray            parimantr no
15      prati    mantray         pratimantray           pratimantr yes
16        sam    mantray           sammantray             sammantr yes
; Case 446  mar  9 (5/4)
01        anu        mar               anumar                anumf yes
02        aBi        mar               aBimar                aBimf yes
03          A        mar                 Amar                  Amf no
04        upa        mar               upamar                upamf yes
05       pari        mar              parimar               parimf yes
06        pra        mar               pramar                pramf yes
07         ni        mar                nimar                 nimf no
08     aBipra        mar            aBipramar             aBipramf no
09         vi        mar                vimar                 vimf no
; Case 447  marC  1 (0/1)
01        aBi       marC              aBimarC               aBimfC no
; Case 448  marj  19 (10/9)
01        anu       marj              anumarj               anumfj yes
02        apa       marj              apamarj               apamfj yes
03        aBi       marj              aBimarj               aBimfj yes
04          A       marj                Amarj                 Amfj yes
05        apA       marj              apAmarj               apAmfj no
06        vyA       marj              vyAmarj               vyAmfj no
07         ud       marj               udmarj                udmfj no
08      samud       marj            samudmarj             samudmfj no
09        upa       marj              upamarj               upamfj yes
10         ni       marj               nimarj                nimfj yes
11        nis       marj              nirmarj               nirmfj yes
12       parA       marj             parAmarj              parAmfj no
13        pra       marj              pramarj               pramfj yes
14      vipra       marj            vipramarj             vipramfj no
15      prati       marj            pratimarj             pratimfj no
16         vi       marj               vimarj                vimfj yes
17      anuvi       marj            anuvimarj             anuvimfj no
18      aBivi       marj            aBivimarj             aBivimfj yes
19        saM       marj              saMmarj               saMmfj no
; Case 449  marq  1 (0/1)
01        pra       marq              pramarq               pramfq no
; Case 450  mard  17 (9/8)
01        ati       mard              atimard               atimfd no
02        apa       mard              apamard               apamfd no
03        aBi       mard              aBimard               aBimfd yes
04        ava       mard              avamard               avamfd yes
05          A       mard                Amard                 Amfd yes
06       aByA       mard             aByAmard              aByAmfd no
07        vyA       mard              vyAmard               vyAmfd no
08         ud       mard               udmard                udmfd no
09        upa       mard              upamard               upamfd yes
10         ni       mard               nimard                nimfd yes
11       parA       mard             parAmard              parAmfd no
12       pari       mard             parimard              parimfd yes
13        pra       mard              pramard               pramfd yes
14     saMpra       mard           sampramard            sampramfd yes
15      prati       mard            pratimard             pratimfd no
16         vi       mard               vimard                vimfd yes
17      saMvi       mard            saMvimard             saMvimfd no
; Case 451  marD  3 (0/3)
01       pari       marD             parimarD              parimfD no
02         vi       marD               vimarD                vimfD no
03        sam       marD              sammarD               sammfD no
; Case 452  marS  25 (16/9)
01        ati       marS              atimarS               atimfS no
02      vyati       marS            vyatimarS             vyatimfS no
03     aByaDi       marS           aByaDimarS            aByaDimfS no
04        anu       marS              anumarS               anumfS yes
05        apa       marS              apamarS               apamfS no
06        aBi       marS              aBimarS               aBimfS yes
07   pratyaBi       marS         pratyaBimarS          pratyaBimfS yes
08        ava       marS              avamarS               avamfS yes
09     anvava       marS           anvavamarS            anvavamfS yes
10   pratyava       marS         pratyavamarS          pratyavamfS yes
11     samava       marS           samavamarS            samavamfS yes
12          A       marS                AmarS                 AmfS yes
13         ud       marS               udmarS                udmfS no
14       parA       marS             parAmarS              parAmfS yes
15    anuparA       marS          anuparAmarS           anuparAmfS yes
16      upopa       marS            upopamarS             upopamfS no
17  pratiparA       marS        pratiparAmarS         pratiparAmfS no
18       pari       marS             parimarS              parimfS yes
19     aBipra       marS           aBipramarS            aBipramfS yes
20      prati       marS            pratimarS             pratimfS no
21         vi       marS               vimarS                vimfS yes
22      anuvi       marS            anuvimarS             anuvimfS yes
23      pravi       marS            pravimarS             pravimfS yes
24        sam       marS              sammarS               sammfS yes
25     aBisam       marS           aBisammarS            aBisammfS no
; Case 453  marz  7 (6/1)
01        apa       marz              apamarz               apamfz no
02        api       marz              apimarz               apimfz yes
03          A       marz                Amarz                 Amfz yes
04        upa       marz              upamarz               upamfz yes
05       pari       marz             parimarz              parimfz yes
06        pra       marz              pramarz               pramfz yes
07         vi       marz               vimarz                vimfz yes
; Case 454  mah  2 (1/1)
01          A        mah                 Amah                 Amah yes
02        sam        mah               sammah               sammah no
; Case 455  mA  20 (13/7)
01        anu         mA                anumA                anumA yes
02        apa         mA                apamA                apamA yes
03        aBi         mA                aBimA                aBimA yes
04        ava         mA                avamA                avamA yes
05         ud         mA                 udmA                 udmA no
06        upa         mA                upamA                upamA yes
07         ni         mA                 nimA                 nimA yes
08     pariRi         mA             pariRimA             pariRimA no
09     aBinis         mA             aBinirmA             aBinirmA no
10    parinis         mA            parinirmA            parinirmA no
11      vinis         mA              vinirmA              vinirmA yes
12   pravinis         mA           pravinirmA           pravinirmA no
13     saMnis         mA             saMnirmA             saMnirmA no
14       pari         mA               parimA               parimA yes
15        pra         mA                pramA                pramA yes
16      prati         mA              pratimA              pratimA yes
17         vi         mA                 vimA                 vimA yes
18        sam         mA                sammA                sammA yes
19          A         mA                  AmA                  AmA yes
20       vini         mA               vinimA               vinimA no
; Case 456  mArg  4 (1/3)
01        anu       mArg              anumArg              anumArg no
02       pari       mArg             parimArg             parimArg yes
03    saMpari       mArg          saMparimArg          saMparimArg no
04      prati       mArg            pratimArg            pratimArg no
; Case 457  mi  13 (9/4)
01        anu         mi                anumi                anumi no
02         ud         mi                 udmi                 udmi no
03        upa         mi                upami                upami yes
04         ni         mi                 nimi                 nimi yes
05      praRi         mi              praRimi              praRimi no
06     aBinis         mi             aBinirmi             aBinirmi yes
07       pari         mi               parimi               parimi yes
08        pra         mi                prami                prami yes
09      prati         mi              pratimi              pratimi no
10         vi         mi                 vimi                 vimi yes
11        sam         mi                sammi                sammi yes
12          A         mi                  Ami                  Ami yes
13       parA         mi               parAmi               parAmi yes
; Case 458  mikz  2 (1/1)
01          A       mikz                Amikz                Amikz no
02        sam       mikz              sammikz              sammikz yes
; Case 459  miT  2 (2/0)
01        aBi        miT               aBimiT               aBimiT yes
02   pratyaBi        miT          pratyaBimiT          pratyaBimiT yes
; Case 460  mid  3 (2/1)
01        ati        mid               atimid               atimid no
02        anu        mid               anumid               anumid yes
03        pra        mid               pramid               pramid yes
; Case 461  mil  3 (1/2)
01       pari        mil              parimil              parimil no
02        sam        mil               sammil               sammil yes
03     aBisam        mil            aBisammil            aBisammil no
; Case 462  miSray  6 (1/5)
01      vyati     miSray          vyatimiSray            vyatimiSr no
02        anu     miSray            anumiSray              anumiSr no
03        vyA     miSray            vyAmiSray              vyAmiSr no
04         vi     miSray             vimiSray               vimiSr yes
05        sam     miSray            sammiSray              sammiSr no
06   pratisam     miSray       pratisammiSray         pratisammiSr no
; Case 463  miz  5 (1/4)
01         ud        miz                udmiz                udmiz no
02       prod        miz              prodmiz              prodmiz no
03    pratyud        miz           pratyudmiz           pratyudmiz no
04      samud        miz             samudmiz             samudmiz no
05         ni        miz                nimiz                nimiz yes
; Case 464  mih  9 (7/2)
01        ati        mih               atimih               atimih no
02        aBi        mih               aBimih               aBimih yes
03        ava        mih               avamih               avamih yes
04        upa        mih               upamih               upamih yes
05         ni        mih                nimih                nimih yes
06       pari        mih              parimih              parimih no
07        pra        mih               pramih               pramih yes
08      prati        mih             pratimih             pratimih yes
09        sam        mih               sammih               sammih yes
; Case 465  mI  4 (2/2)
01        anu         mI                anumI                anumI no
02          A         mI                  AmI                  AmI yes
03        uda         mI                udamI                udamI no
04        pra         mI                pramI                pramI yes
; Case 466  mIl  13 (5/8)
01        anu        mIl               anumIl               anumIl no
02        aBi        mIl               aBimIl               aBimIl no
03          A        mIl                 AmIl                 AmIl yes
04        vyA        mIl               vyAmIl               vyAmIl yes
05         ud        mIl                udmIl                udmIl no
06       prod        mIl              prodmIl              prodmIl no
07      samud        mIl             samudmIl             samudmIl no
08         ni        mIl                nimIl                nimIl yes
09       vini        mIl              vinimIl              vinimIl no
10      saMni        mIl             saMnimIl             saMnimIl yes
11        pra        mIl               pramIl               pramIl yes
12        saM        mIl               saMmIl               saMmIl no
13     aBisam        mIl            aBisammIl            aBisammIl no
; Case 467  mIv  4 (4/0)
01          A        mIv                 AmIv                 AmIv yes
02         ni        mIv                nimIv                nimIv yes
03        pra        mIv               pramIv               pramIv yes
04      prati        mIv             pratimIv             pratimIv yes
; Case 468  muc  30 (24/6)
01        ati        muc               atimuc               atimuc yes
02        aDi        muc               aDimuc               aDimuc no
03      vyapa        muc             vyapamuc             vyapamuc yes
04        aBi        muc               aBimuc               aBimuc yes
05        ava        muc               avamuc               avamuc yes
06      vyava        muc             vyavamuc             vyavamuc yes
07          A        muc                 Amuc                 Amuc yes
08      paryA        muc             paryAmuc             paryAmuc yes
09        vyA        muc               vyAmuc               vyAmuc yes
10         ud        muc                udmuc                udmuc no
11       prod        muc              prodmuc              prodmuc no
12      samud        muc             samudmuc             samudmuc no
13        upa        muc               upamuc               upamuc yes
14        nis        muc               nirmuc               nirmuc yes
15     aDinis        muc            aDinirmuc            aDinirmuc yes
16     aBinis        muc            aBinirmuc            aBinirmuc no
17      vinis        muc             vinirmuc             vinirmuc yes
18       pari        muc              parimuc              parimuc yes
19     vipari        muc            viparimuc            viparimuc yes
20        pra        muc               pramuc               pramuc yes
21     anupra        muc            anupramuc            anupramuc yes
22    paripra        muc           paripramuc           paripramuc yes
23   pratipra        muc          pratipramuc          pratipramuc yes
24      vipra        muc             vipramuc             vipramuc yes
25     saMpra        muc            sampramuc            sampramuc yes
26      prati        muc             pratimuc             pratimuc yes
27   saMprati        muc          sampratimuc          sampratimuc no
28         vi        muc                vimuc                vimuc yes
29      pravi        muc             pravimuc             pravimuc yes
30        sam        muc               sammuc               sammuc yes
; Case 469  muw  4 (1/3)
01        ava        muw               avamuw               avamuw no
02         ud        muw                udmuw                udmuw no
03       pari        muw              parimuw              parimuw no
04      prati        muw             pratimuw             pratimuw yes
; Case 470  mud  11 (6/5)
01        anu        mud               anumud               anumud yes
02     aByanu        mud            aByanumud            aByanumud yes
03        aBi        mud               aBimud               aBimud no
04          A        mud                 Amud                 Amud no
05         ud        mud                udmud                udmud no
06    saMpari        mud           saMparimud           saMparimud no
07        pra        mud               pramud               pramud yes
08     anupra        mud            anupramud            anupramud yes
09     saMpra        mud            sampramud            sampramud no
10      prati        mud             pratimud             pratimud yes
11        sam        mud               sammud               sammud yes
; Case 471  mudray  3 (0/3)
01         ud     mudray             udmudray            udmudraya no
02       pari     mudray           parimudray          parimudraya no
03         vi     mudray             vimudray            vimudraya no
; Case 472  muz  9 (6/3)
01        ava        muz               avamuz               avamuz yes
02          A        muz                 Amuz                 Amuz yes
03         ud        muz                udmuz                udmuz no
04        nis        muz               nirmuz               nirmuz yes
05       pari        muz              parimuz              parimuz yes
06        pra        muz               pramuz               pramuz yes
07     saMpra        muz            sampramuz            sampramuz no
08         vi        muz                vimuz                vimuz no
09        sam        muz               sammuz               sammuz yes
