graB:37314:ati,anu,samanu,apa,api,aBi,ava,pratyava,vyava,A,upA,samA,ud,upod,pratyud,samud,upa,ni,upani,pratini,vini,saMni,nis,pratinis,pari,saMpari,pra,paripra,pratipra,saMpra,prati,upaprati,saMprati,vi,sam,anusam,apisam,aBisam,upasam,pratisam,saha grah:68591:verb:9P,9Ā:
gras:37319:*aBi,A,upa,pari,pra,sam gras:68546:verb:1P,1Ā:
glA:37625:ava,pari,aBipari,pra glE:69170:verb:1P,1Ā,2P,2Ā:
Gaw:37654:apa,A,ud,samud,pari,pra,vi,sam Gaw:69219:verb:1Ā,1P:
Gaww:37713:anu,ava,A,ud,upa,pari,vi,parivi,sam Gaww:69346:verb:1Ā,10P:
Gar:37829:aBi,pratyaBi,A,*prA,vyA,vi Gar:69592:verb:10P:
Garz:37879:ava,*A,ud,samud,ni,saMni,nis,pari,pra,saMpra,vi,sam Gfz:70114:verb:1P,1Ā:
Gas:37886:api,*ud,*ni,pra,vi Gas:69692:verb:1:
GAtay:37904:aBi,ava,vyA,upod,ni,nis,prati,vi GAtaya:69757:verb:PĀ:
Guw:37929:ava,vyA Guw:69785:verb:6P,1Ā:
Guz:37964&37965:anu,ava,A,vyA,ud,prod,upa,nis,pari,pra,vi,udvi,sam,parisam~ni Guz:69841&69916:verb:1P,1Ā,1P:
GUrR:37976:ava,A,vyA,vi GUrR:69925:verb:1P,1Ā:
GrA:38163:anu,aBi,ava,A,upA,samupA,*vyA,samA,*ud,upa,samupa,pari,vi,sam GrA:70246:verb:1,3P,3Ā,2P:
cak:38182:ud,pra cak:70295:verb:1P,1Ā:
cakAs:38187:sam cakAs:70306:verb:2P,1Ā:
cakz:38350:anu,aBi,ava,A,anvA,aByA,udA,nirA,pratyA,vyA,samA,pari,pra,aBipra,saMpra,prati,vi,aBivi,udvi,pravi,sam,*avasam,parisam,prasam cakz:70640:verb:2Ā,2P:
caw:38432:ud,vi caw:70830:verb:1P:
cat:38569:nis,pra,vi cat:71064:verb:1P,1Ā:
cam:39162:A,anvA,paryA,samA,*vi cam:72049:verb:1,5:
